pollutant_id,datetime,country,state,city,station,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
CO,2025-12-09,India,Maharashtra,Delhi,"32Bungalows, Bhilai - CECB",22.379442652749447,78.65368996784923,17.45945945945946,48.734234234234236,28.173423423423422
NH3,2025-12-09,India,Maharashtra,Delhi,"32Bungalows, Bhilai - CECB",22.150014684650603,78.6165565246265,3.430079155672823,6.372031662269129,4.361477572559367
NO2,2025-12-09,India,Maharashtra,Delhi,"32Bungalows, Bhilai - CECB",22.140208290911065,78.6243731270282,12.674418604651162,30.095348837209304,19.006976744186048
OZONE,2025-12-09,India,Maharashtra,Delhi,"32Bungalows, Bhilai - CECB",22.335502676935125,78.70905768765101,11.947488584474886,38.05707762557078,20.440639269406393
PM10,2025-12-09,India,Maharashtra,Delhi,"32Bungalows, Bhilai - CECB",22.19227800233906,78.612844987897,40.84651162790698,101.26976744186047,64.6093023255814
PM2.5,2025-12-09,India,Maharashtra,Delhi,"32Bungalows, Bhilai - CECB",22.244865523571427,78.68079093303031,24.308235294117647,78.94823529411765,43.28
SO2,2025-12-09,India,Maharashtra,Delhi,"32Bungalows, Bhilai - CECB",22.141125917755556,78.80514322591111,9.274271844660195,19.83009708737864,13.327669902912621
