country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","12-09-2025 14:00:00",26.071318,91.87488,NO2,1,9,6
India,Assam,Guwahati,"IITG, Guwahati - PCBA","12-09-2025 14:00:00",26.2028636,91.70046436,NO2,1,6,3
India,Assam,Guwahati,"IITG, Guwahati - PCBA","12-09-2025 14:00:00",26.2028636,91.70046436,OZONE,1,45,12
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","12-09-2025 14:00:00",26.187500,91.744194,OZONE,18,18,18
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","12-09-2025 14:00:00",26.181742,91.78063,NO2,3,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","12-09-2025 14:00:00",16.5150833,80.5181667,PM2.5,2,43,20
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","12-09-2025 14:00:00",16.5150833,80.5181667,PM10,14,69,34
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","12-09-2025 14:00:00",14.675886,77.593027,OZONE,9,17,11
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","12-09-2025 14:00:00",25.697189,85.245900,CO,34,50,42
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","12-09-2025 14:00:00",26.0881305,87.93840336,NO2,7,8,8
India,Bihar,Patna,"Muradpur, Patna - BSPCB","12-09-2025 14:00:00",25.619651,85.147382,PM10,34,173,100
India,Bihar,Patna,"Muradpur, Patna - BSPCB","12-09-2025 14:00:00",25.619651,85.147382,SO2,7,9,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","12-09-2025 14:00:00",25.599486,85.113666,NO2,19,27,23
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","12-09-2025 14:00:00",25.599486,85.113666,NH3,1,2,2
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","12-09-2025 14:00:00",25.599486,85.113666,SO2,5,8,7
India,Bihar,Patna,"Samanpura, Patna - BSPCB","12-09-2025 14:00:00",25.596727,85.085624,CO,26,62,30
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","12-09-2025 14:00:00",25.366336,87.117468,PM2.5,13,63,32
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","12-09-2025 14:00:00",25.03280,85.41948,NH3,6,7,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","12-09-2025 14:00:00",25.03280,85.41948,SO2,19,23,21
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","12-09-2025 14:00:00",25.892357,86.590325,PM2.5,2,42,19
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","12-09-2025 14:00:00",25.859655,85.77944,OZONE,9,17,10
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","12-09-2025 14:00:00",24.952822,84.002396,PM2.5,2,18,10
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","12-09-2025 14:00:00",26.2271665,84.3570427,PM2.5,5,70,33
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","12-09-2025 14:00:00",26.2271665,84.3570427,PM10,14,447,78
