location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.65,"ppb","2025-09-01T08:15:00Z","2025-09-01T13:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.53,"ppb","2025-09-01T08:30:00Z","2025-09-01T14:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.54,"ppb","2025-09-01T08:45:00Z","2025-09-01T14:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.55,"ppb","2025-09-01T09:00:00Z","2025-09-01T14:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.49,"ppb","2025-09-01T09:15:00Z","2025-09-01T14:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.56,"ppb","2025-09-01T09:30:00Z","2025-09-01T15:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.51,"ppb","2025-09-01T09:45:00Z","2025-09-01T15:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.51,"ppb","2025-09-01T10:00:00Z","2025-09-01T15:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.53,"ppb","2025-09-01T10:15:00Z","2025-09-01T15:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.47,"ppb","2025-09-01T10:30:00Z","2025-09-01T16:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.62,"ppb","2025-09-01T11:00:00Z","2025-09-01T16:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.57,"ppb","2025-09-01T11:15:00Z","2025-09-01T16:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",1,"ppb","2025-09-01T13:15:00Z","2025-09-01T18:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",1.02,"ppb","2025-09-01T13:30:00Z","2025-09-01T19:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.84,"ppb","2025-09-01T13:45:00Z","2025-09-01T19:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.91,"ppb","2025-09-01T14:00:00Z","2025-09-01T19:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",1.09,"ppb","2025-09-01T14:15:00Z","2025-09-01T19:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.74,"ppb","2025-09-01T14:30:00Z","2025-09-01T20:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.52,"ppb","2025-09-01T14:45:00Z","2025-09-01T20:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.46,"ppb","2025-09-01T15:00:00Z","2025-09-01T20:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.45,"ppb","2025-09-01T15:15:00Z","2025-09-01T20:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.4,"ppb","2025-09-01T15:30:00Z","2025-09-01T21:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.36,"ppb","2025-09-01T15:45:00Z","2025-09-01T21:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.27,"ppb","2025-09-01T16:00:00Z","2025-09-01T21:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.29,"ppb","2025-09-01T16:15:00Z","2025-09-01T21:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
